icao,name,lat,lon,elev_ft,type,country
EDOH,Langhennersdorf Airfield,50.94833,13.26167,1266,small_airport,DE
EDOI,Bienenfarm Airfield,52.66167,12.74583,120,small_airport,DE
EDOJ,Lüsse Airfield,52.14271,12.67144,217,small_airport,DE
EDOK,Rudolstadt-Groschwitz Airfield,50.73278,11.23611,1535,small_airport,DE
EDOL,Oschersleben Glider Field,52.03805,11.20556,344,small_airport,DE
EDOM,Klein Mühlingen Airfield,51.9475,11.76972,171,small_airport,DE
EDON,Neuhardenberg Marxwalde Airfield,52.61306,14.24278,39,small_airport,DE
EDOQ,Oschatz Airfield,51.29677,13.07869,502,small_airport,DE
EDOR,Stölln-Rhinow Airfield,52.74083,12.39,138,small_airport,DE
EDOS,Pennewitz Airfield,50.66969,11.05109,1506,small_airport,DE
EDOT,Greiz-Obergrochlitz Airfield,50.64398,12.17457,1266,small_airport,DE
EDOU,Weimar-Umpferstedt Airfield,50.96509,11.3998,984,small_airport,DE
EDOV,Stendal-Borstel Airfield,52.62889,11.81861,184,small_airport,DE
EDOW,Waren-Vielist Airfield,53.56833,12.65278,282,small_airport,DE
EDOX,Renneritz Airfield,51.59511,12.23791,308,small_airport,DE
EDOZ,Schönebeck-Zackmünde Airfield,51.99713,11.78979,167,small_airport,DE
EDPA,Aalen Heidenheim Elchingen Airfield,48.77778,10.26472,1916,small_airport,DE
EDPB,Bad Ditzenbach Airfield,48.56278,9.72889,2362,small_airport,DE
EDPC,Bad Endorf/Jolling Airfield,47.9269,12.2872,1690,small_airport,DE
EDPD,Dingolfing Airfield,48.65673,12.49879,1165,small_airport,DE
EDPE,Eichstätt Airfield,48.87694,11.18222,1713,small_airport,DE
EDPF,Schwandorf Airfield,49.33972,12.18806,1270,small_airport,DE
EDPG,Griesau Airfield,48.95389,12.42139,1060,small_airport,DE
EDPH,Schwabach-Heidenberg Airfield,49.26802,11.01261,1181,small_airport,DE
EDPI,Moosburg auf der Kippe Airfield,48.45659,11.94162,1375,small_airport,DE
EDPJ,Laichingen Jakob Laur Airfield,48.49694,9.64028,2434,small_airport,DE
EDPK,Schönberg Airfield,48.04778,12.50056,1946,small_airport,DE
EDPM,Donzdorf Airfield,48.67818,9.84591,2274,small_airport,DE
EDPO,Neumarkt-Oberpfalz Airfield,49.28556,11.44306,1394,small_airport,DE
EDPQ,Schmidgaden Airfield,49.42944,12.09806,1247,small_airport,DE
EDPS,Flugplatz Sonnen,48.68278,13.69472,2674,small_airport,DE
EDPT,Gerstetten Airfield,48.62028,10.05833,1975,small_airport,DE
EDPU,Bartholomä-Amalienhof Airfield,48.74667,10.005,2092,small_airport,DE
EDPW,Thalmässing-Waizenhofen Airfield,49.06417,11.20917,1893,small_airport,DE
EDPY,Ellwangen Airfield,48.96148,10.23449,1650,small_airport,DE
EDPZ,Paterzell Airfield,47.84692,11.06109,1955,small_airport,DE
EDQA,Bamberg-Breitenau Airfield,49.9204,10.91423,811,medium_airport,DE
EDQB,Bad Windsheim Airfield,49.51,10.36639,1220,small_airport,DE
EDQC,Coburg-Brandensteinsebene Airfield,50.2625,10.99556,1490,small_airport,DE
EDQD,Bayreuth Airport,49.985,11.64,1601,medium_airport,DE
EDQE,Burg Feuerstein Airport,49.79417,11.13361,1673,small_airport,DE
EDQF,Ansbach-Petersdorf Airfield,49.36111,10.66944,1371,small_airport,DE
EDQG,Giebelstadt Airport,49.64806,9.96639,981,small_airport,DE
EDQH,Herzogenaurach Airfield,49.58271,10.87834,1070,small_airport,DE
EDQI,Lauf-Lillinghof Airfield,49.60516,11.28358,1788,small_airport,DE
EDQK,Kulmbach Airfield,50.13492,11.45907,1660,small_airport,DE
EDQL,Lichtenfels Airfield,50.14861,11.04806,853,small_airport,DE
EDQM,Hof-Plauen Airport,50.28854,11.85288,1959,medium_airport,DE
EDQN,Neustadt/Aisch Airfield,49.5875,10.5775,1198,small_airport,DE
EDQO,Ottengrüner Heide Airfield,50.22583,11.73167,1880,small_airport,DE
EDQP,Rosenthal-Plössen Airfield,49.86333,11.78778,1496,small_airport,DE
EDQR,Ebern-Sendelbach Airfield,50.04,10.82254,827,small_airport,DE
EDQS,Suhl-Goldlauter Airfield,50.63205,10.72601,1923,small_airport,DE
EDQT,Haßfurt-Schweinfurt Airfield,50.0182,10.52917,719,small_airport,DE
EDQW,Weiden in der Oberpfalz Airfield,49.6789,12.1164,1329,small_airport,DE
EDQX,Hetzleser Berg Airfield,49.64234,11.16257,1765,small_airport,DE
EDQY,Coburg-Steinrücken Airfield,50.23056,10.99583,1184,small_airport,DE
EDQZ,Pegnitz-Zipser Berg Airfield,49.76238,11.57462,1791,small_airport,DE
